title,steam_url,tags,description
Content Warning,https://store.steampowered.com/app/2881650/Content_Warning/?snr=1_7_7_240_150_1,"Horror, Online Co-Op, Procedural Generation, Exploration, Action Roguelike, Multiplayer, Comedy, Physics, Co-op, Funny, First-Person, Psychological Horror, Survival Horror, Atmospheric, Post-apocalyptic, Adventure, 3D, Time Management, Investigation, Mystery",Film your friends doing scary things to become SpöökTube famous! (strongly advised to not go alone)
7 Days to Die,https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_240_150_1,"Survival, Zombies, Multiplayer, Open World, Open World Survival Craft, Base Building, Post-apocalyptic, Online Co-Op, Voxel, Building, Exploration, Sandbox, FPS, Simulation, Horror, Tower Defense, Character Customization, Action, Strategy, Procedural Generation","7 Days to Die is an open-world game that is a unique combination of first-person shooter, survival horror, tower defense, and role-playing games. Play the definitive zombie survival sandbox RPG that came first. Navezgane awaits!"
Path of Exile,https://store.steampowered.com/app/238960/Path_of_Exile/?snr=1_7_7_240_150_1,"Free to Play, Action RPG, Dark Fantasy, Hack and Slash, Loot, MMORPG, Multiplayer, Dungeon Crawler, Isometric, RPG, Character Customization, Online Co-Op, Singleplayer, Inventory Management, Action, PvP, Horror, Massively Multiplayer, Fantasy, Adventure","You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Path of Exile is an online Action RPG set in a dark fantasy world. The game is completely free and will never be pay-to-win."
Unknown,https://store.steampowered.com/app/214490/Alien_Isolation/?snr=1_7_7_240_150_1,,No description
Unknown,https://store.steampowered.com/app/418370/Resident_Evil_7_Biohazard/?snr=1_7_7_240_150_1,,No description
World War Z,https://store.steampowered.com/app/699130/World_War_Z/?snr=1_7_7_240_150_1,"Zombies, Multiplayer, Online Co-Op, Co-op, Singleplayer, Action, Shooter, Third-Person Shooter, PvE, Survival Horror, FPS, Post-apocalyptic, Gore, Gun Customization, Character Customization, First-Person, Third Person, Violent, Horror, Combat","World War Z is a heart-pounding coop third-person shooter for up to 4 players featuring massive swarms of hundreds of zombies, focused on fast-paced, gruesomely spectacular action."
Bodycam,https://store.steampowered.com/app/2406770/Bodycam/?snr=1_7_7_240_150_1,"Early Access, Tactical, FPS, Realistic, Shooter, Multiplayer, Simulation, Military, Immersive Sim, Team-Based, First-Person, Co-op, PvP, Zombies, Horror, Action, Physics, Combat, Wargame, VR","Bodycam is the first tactical multiplayer FPS with a true body-camera view in Unreal Engine 5. Close-quarters combats feel raw and loud. Every angle, callout, and bullet matters. Play Deathmatch, Team Deathmatch, and Body Bomb on photoreal maps where teamplay, tactics, and clutch skill are key."
Unknown,https://store.steampowered.com/app/1693980/Dead_Space/?snr=1_7_7_240_150_1,,No description
Hello Kitty Island Adventure,https://store.steampowered.com/app/2495100/Hello_Kitty_Island_Adventure/?snr=1_7_7_240_150_1,"Cozy, Open World, Adventure, Cute, Simulation, Life Sim, Exploration, Casual, Colorful, Relaxing, Crafting, Family Friendly, Cooking, Story Rich, Immersive Sim, Action, Puzzle, 3D, Multiplayer, Horror","Embark on a cozy, open-world adventure with Hello Kitty and Friends. Befriend beloved characters as you explore and restore a mysterious island, solve ancient puzzles, cook delicious dishes, customize yourself and your cabins, and so much more."
Left 4 Dead 2,https://store.steampowered.com/app/550/Left_4_Dead_2/?snr=1_7_7_240_150_1,"Zombies, Co-op, FPS, Multiplayer, Shooter, Online Co-Op, Action, Survival, Horror, First-Person, Gore, Team-Based, Moddable, Survival Horror, Post-apocalyptic, Singleplayer, Adventure, Local Co-Op, Replay Value, Tactical","Set in the zombie apocalypse, Left 4 Dead 2 is a co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns."
Unknown,https://store.steampowered.com/app/202970/Call_of_Duty_Black_Ops_II/?snr=1_7_7_240_150_1,,No description
Barotrauma,https://store.steampowered.com/app/602960/Barotrauma/?snr=1_7_7_240_150_2,"Co-op, Multiplayer, Survival, Submarine, Survival Horror, Horror, 2D, Underwater, Simulation, Sci-fi, Management, Strategy, Action, Difficult, Moddable, Gore, Violent, Singleplayer, Naval, Psychological Horror","Barotrauma is a 2D co-op submarine simulator – in space, with survival horror and RPG elements. Steer your submarine, complete missions, fight monsters, fix leaks, operate machinery, man the guns and craft items, and stay alert: danger in Barotrauma doesn’t announce itself!"
Unknown,https://store.steampowered.com/app/883710/Resident_Evil_2/?snr=1_7_7_240_150_2,"Gore, Violent",No description
